4.995132319208 0.418452968474 -0.1256903953641   -0.0005366063303471 -0.008585134697604   10.61094040474 13.79307669505   0.6882840771203 -0.3114504905257   
5.05796417228 0.4528987439527 -0.08923996534702   -0.000887629496675 -0.009254730828628   12.99406561827 16.45376023483   0.6448887742241 -0.4397277607743   
5.120796025351 0.4895244717038 -0.05620884383942   -0.001602102007463 -0.01008672826825   16.18016016412 18.96045875253   0.5584792457035 -0.5932859610472   
5.183627878423 0.5311794119806 -0.03003568754741   -0.002894057361649 -0.01094736465319   20.53732378476 20.88924957479   0.398228214082 -0.7605004499807   
5.246459731495 0.5782160427886 -0.0178714227129   -0.004969881637055 -0.01145850915648   26.21363039555 21.28883911877   0.1286408322827 -0.8977373155642   
5.309291584567 0.6229612221887 -0.02877330511664   -0.007702148603752 -0.01092026548721   32.37429043807 18.78349470127   -0.2499674668836 -0.9118260362762   
5.372123437639 0.647305324172 -0.06251303242908   -0.01018036340572 -0.008787415511018   36.62715768269 12.96533667393   -0.6322365991163 -0.7114383962973   
5.43495529071 0.6388013597749 -0.09972126971926   -0.01121045225381 -0.005626382950606   36.87857344781 6.04218092085   -0.8503537444358 -0.3426643450866   
5.497787143782 0.6074717258109 -0.1196595666309   -0.01066341704212 -0.002736604226524   33.92043695307 0.9222486542877   -0.8575664070245 0.02884584167787   
5.560618996854 0.5712498810292 -0.1194643770564   -0.009327062715557 -0.0007755171085935   29.98749487895 -1.616918261308   -0.7407669864209 0.2994715183972   
5.623450849926 0.5394942656256 -0.1065323100171   -0.007871574905469 0.0003539316113089   26.4440191507 -2.323578260728   -0.5890542633016 0.4661110760492   
5.686282702998 0.5138889298011 -0.087739798593   -0.006575796892713 0.000947746678358   23.65046147208 -2.054495461043   -0.4454171565612 0.5605187153819   
5.749114556069 0.4933486949106 -0.06700915632732   -0.005496218008881 0.001237139921267   21.54219303886 -1.346455845198   -0.3225326851188 0.611215367423   
5.811946409141 0.4764246871926 -0.04620219098323   -0.004611306174873 0.001361804622893   19.96141916063 -0.4766998881462   -0.2208502538527 0.6366836720462   
5.874778262213 0.4619629736342 -0.02611534970011   -0.003883069042446 0.001399603414905   18.76517432494 0.4231405521274   -0.1372550820269 0.647787977235   
5.937610115285 0.4491611685047 -0.007049523213414   -0.003276537409779 0.00139306648405   17.84554126609 1.29433468268   -0.06820541616417 0.6507547748375   
6.000441968357 0.4374888232797 0.01091330309097   -0.002763940112029 0.001365474392665   17.12549707834 2.113206523572   -0.01064518303351 0.6491580460357   
6.063273821428 0.4266037439013 0.02778307235017   -0.002324285422697 0.001329685214889   16.55081578225 2.872606390283   0.03784642352596 0.6450710659675   
6.1261056745 0.4162898295759 0.04360484491997   -0.00194194692267 0.001292861943588   16.08317514077 3.572983421946   0.07912921899065 0.6397103331504   
6.188937527572 0.4064150871339 0.05843410157182   -0.001605307588681 0.001259012345309   15.69516836772 4.21809309891   0.1146194016851 0.633794980673   
6.251769380644 0.3969040640198 0.07232667759363   -0.001305693306329 0.001230372048086   15.36687538133 4.812938508176   0.1453962330022 0.6277498625513   
6.314601233715 0.3877197654184 0.08533534202782   -0.001036588129959 0.00120816992773   15.08353762689 5.362794537948   0.172286541673 0.6218223236711   
6.377433086787 0.3788516325952 0.09750934620485   -0.000793070657712 0.001193057775792   14.83397683125 5.872759203156   0.1959283829375 0.6161505857853   
6.440264939859 0.3703073513854 0.1088952337222   -0.0005714116393147 0.001185353770089   14.60950853437 6.347559675569   0.216818136793 0.6108045116172   
6.503096792931 0.3621070716053 0.1195381069585   -0.0003687858665479 0.001185180391323   14.40318547804 6.791477720236   0.2353452421884 0.6058102843628   
6.565928646003 0.3542791364738 0.1294829628127   -0.0001830641992915 0.001192541198899   14.20926366474 7.208326573236   0.2518179353036 0.6011655565128   
6.628760499074 0.3468567474981 0.1387759047995   -1.266155102392e-05 0.001207361411679   14.0228217855 7.601445005513   0.2664825028269 0.5968488628507   
6.691592352146 0.3398752066859 0.1474651229763   0.0001435761141423 0.001229506607591   13.83948941561 7.973691806216   0.2795378683906 0.5928255457915   
6.754424205218 0.3333695143021 0.1556015735877   0.0002864577646539 0.001258788005131   13.65525543001 8.327433050517   0.2911468080067 0.589051556959   
6.81725605829 0.3273721997928 0.1632393066856   0.000416514787558 0.001294959506678   13.46633850213 8.664519782371   0.3014447126397 0.5854759783181   
6.880087911362 0.3219113313194 0.1704354019201   0.0005340561280215 0.00133770990475   13.26910830868 8.986256903543   0.3105465430653 0.582042802309   
6.942919764433 0.3170087085563 0.177249481685   0.0006392154757444 0.001386652652076   13.06005021446 9.293366399837   0.3185524265866 0.5786923172369   
7.005751617505 0.3126782788562 0.1837427907339   0.0007319936662238 0.001441315114123   12.83576848825 9.585949576477   0.325552200409 0.5753623259697   
7.068583470577 0.3089248513131 0.1899768530162   0.0008122984178448 0.001501128963086   12.59302403767 9.863454363332   0.3316291026632 0.5719893455301   
7.131415323649 0.3057432006883 0.1960117486192   0.000879982681487 0.001565423208857   12.32880233426 10.12465451625   0.3368627358761 0.5685098706139   
7.194247176721 0.3031176568426 0.2019040904382   0.0009348821291655 0.001633421251575   12.04040625091 10.36764785793   0.3413313736371 0.5648617437489   
7.257079029792 0.3010222665197 0.2077048183658   0.0009768516172442 0.00170424310251   11.72556683261 10.58988021453   0.3451136480839 0.5609856264608   
7.319910882864 0.2994215822799 0.2134569660449   0.001005799905467 0.001776913629776   11.38256324921 10.78820032134   0.3482896379288 0.5568265341648   
7.382742735936 0.2982720945992 0.2191935787612   0.001021721423784 0.001850377247135   11.01034167645 10.95894889973   0.3509413755148 0.5523353699421   
7.445574589008 0.2975242634725 0.2249359735888   0.001024723629397 0.001923518906022   10.60862176022 11.09808194035   0.3531528030422 0.5474703657854   
7.50840644208 0.297125049047 0.2306925200515   0.001015048400816 0.001995190658882   10.17797948118 11.20132491775   0.3550092286936 0.5421983353037   
7.571238295151 0.2970207782983 0.2364580886817   0.0009930861178416 0.002064242458962   9.719896366487 11.26435095105   0.3565963592893 0.5364956405503   
7.634070148223 0.2971601449355 0.2422142580595   0.0009593814407946 0.002129555352979   9.236767548147 11.28297292521   0.3579990127053 0.530348792066   
7.696902001295 0.2974971109742 0.2479303033642   0.0009146304072627 0.002190074900882   8.731864639043 11.25333731787   0.3592996329526 0.5237546277847   
7.759733854367 0.2979934852011 0.253564911762   0.0008596691161993 0.002244842553944   8.209253603023 11.17210672583   0.3605767419855 0.5167200516604   
7.822565707439 0.2986209763095 0.2590685016756   0.0007954549855686 0.002293022892021   7.673671945258 11.03661860111   0.3619034594976 0.5092613503343   
7.88539756051 0.2993625782882 0.26438596374   0.0007230421073646 0.002333925010617   7.130373348759 10.8450099969   0.3633462070283 0.5014031437932   
7.948229413582 0.3002132062718 0.269459610929   0.0006435526673981 0.002367016919266   6.584950476646 10.59630110293   0.3649636871906 0.4931770519253   
8.011061266654 0.3011795768761 0.274232116481   0.0005581465477069 0.002391932477623   6.043148073902 10.29043432357   0.3668061945053 0.4846201793982   
8.073893119726 0.3022793954134 0.2786492361537   0.0004679911728764 0.002408471034817   5.510678444121 9.928269454041   0.3689152804632 0.4757735244755   
8.136724972798 0.3035399641427 0.2826621500005   0.0003742334089723 0.002416590508242   4.993050068407 9.511538949499   0.3713237612494 0.4666804125852   
8.199556825869 0.3049963623284 0.2862293090168   0.0002779749146235 0.002416395046815   4.495417923292 9.042769905698   0.3740560298936 0.4573850397838   
8.262388678941 0.306689364576 0.2893177269767   0.0001802518721856 0.002408118653184   4.022461331202 8.525180909133   0.3771286172831 0.447931188752   
8.325220532013 0.3086632587015 0.2919037100608   8.201955096508e-05 0.002392106217732   3.578292337928 7.962562567994   0.380550934794 0.4383611586146   
